angDist,RAJ2000,DEJ2000,nobs,B-V,e_B-V,fuv_mag,nuv_mag,ipmag,gpmag,rpmag,present,type,class
1.383051,132.556622,16.320462,6,0.507,0.043,20.695,14.79,10.056,10.756,10.218,1,ROT                           ,ROTATIONAL
1.276541,138.944714,6.917805,5,0.439,0.02,22.94,17.463,13.472,13.775,13.561,1,ROT                           ,ROTATIONAL
1.239906,133.85161,13.071225,5,0.463,0.062,22.323,16.848,12.971,13.334,13.087,1,ROT                           ,ROTATIONAL
1.196388,135.217701,18.576855,5,0.691,0.042,23.398,17.641,11.87,12.514,12.036,1,ROT                           ,ROTATIONAL
0.971843,140.051602,6.910502,6,0.39,0.038,23.089,17.386,13.719,14.081,13.818,1,DSCT|GDOR|SXPHE               ,ECLIPSING
1.556699,132.556098,8.926122,5,0.527,0.069,21.792,15.559,11.363,11.791,11.469,1,ROT                           ,ROTATIONAL
1.51913,132.685269,8.978398,5,0.494,0.114,22.459,16.816,12.319,12.705,12.397,1,ROT                           ,ROTATIONAL
1.470787,132.636556,9.054974,5,0.423,0.079,19.325,14.684,11.029,11.322,11.101,1,ROT                           ,ROTATIONAL
1.218227,125.666881,7.986766,5,0.427,0.035,21.898,16.756,13.337,13.358,13.102,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.959047,132.473327,9.21855,5,0.641,0.084,23.001,17.199,12.299,12.875,12.444,1,ROT                           ,ROTATIONAL
0.436912,131.737531,8.869585,8,0.465,0.059,21.388,16.444,12.609,12.953,12.693,1,DSCT|GDOR|SXPHE               ,ECLIPSING
1.455783,132.008256,8.96395,5,0.445,0.068,19.011,13.729,9.297,10.053,9.41,1,ROT                           ,ROTATIONAL
0.67369,131.725581,8.985841,8,0.428,0.121,17.228,13.255,9.421,9.628,9.462,1,ROT                           ,ROTATIONAL
0.219815,126.347173,8.383426,5,0.54,0.039,23.408,16.569,11.85,12.314,11.935,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.887082,132.464214,9.256316,5,0.378,0.121,20.226,16.091,12.735,12.924,12.763,1,ROT                           ,ROTATIONAL
1.492791,132.236873,9.279321,5,0.474,0.096,20.813,14.926,10.519,10.937,10.617,1,ROT                           ,ROTATIONAL
0.512554,133.985722,8.398246,6,0.422,0.073,19.919,15.542,12.014,12.259,12.061,1,ROT                           ,ROTATIONAL
2.219251,134.015844,8.42097,6,0.175,0.513,22.467,18.03,14.712,14.957,14.756,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.096149,132.028549,9.172819,7,0.281,0.06,18.282,16.241,13.213,13.277,13.211,1,EA/SD                         ,ECLIPSING
1.947563,133.952606,8.588577,5,1.541,0.06,23.611,21.917,10.482,12.393,11.098,1,ROT                           ,ROTATIONAL
0.475293,134.694581,4.084433,6,0.612,0.058,22.334,16.082,10.735,11.28,10.827,1,ROT                           ,ROTATIONAL
1.047522,137.952586,6.853872,5,1.123,0.091,22.256,18.37,10.268,11.545,10.626,1,RS                            ,ROTATIONAL
1.360357,137.628531,6.847005,5,0.213,0.082,18.705,15.549,12.652,12.593,12.593,1,E                             ,ECLIPSING
1.15145,127.702259,6.468367,5,0.351,0.02,19.456,15.576,12.295,12.472,12.332,1,DSCT|GDOR|SXPHE               ,ECLIPSING
