angDist,RAJ2000,DEJ2000,nobs,B-V,e_B-V,fuv_mag,nuv_mag,ipmag,gpmag,rpmag,present,type
0.43272,33.787003,13.325122,5,0.474,0.068,20.312,15.511,11.016,11.471,11.168,0,
1.088646,29.277893,14.323148,7,0.543,0.034,23.575,17.67,13.546,14.023,13.663,0,
2.034627,29.051137,14.340973,9,0.495,0.047,20.761,14.209,9.813,10.258,9.933,0,
1.265386,29.169798,14.373196,10,0.549,0.028,21.979,16.288,11.55,12.049,11.707,0,
1.074054,33.571351,13.53565,7,0.568,0.076,22.904,16.245,11.014,11.51,11.19,0,
1.139612,33.480595,13.5674,7,0.731,0.073,22.808,19.228,12.845,13.607,13.128,0,
0.78282,33.553354,13.600043,7,0.554,0.087,23.336,16.66,11.593,12.112,11.737,0,
1.105985,28.879774,14.476236,7,0.536,0.03,23.452,16.37,11.956,12.476,12.086,0,
1.545197,33.666159,13.638524,7,0.907,0.048,23.489,19.231,11.082,12.108,11.406,0,
0.398769,29.167056,14.682005,8,0.66,0.036,22.295,17.003,11.161,11.699,11.236,1,ROT                           
0.768178,34.206633,13.941378,7,0.445,0.052,20.094,14.811,10.48,10.899,10.636,0,
0.472074,28.455419,14.229803,5,0.729,0.032,22.907,18.16,12.121,12.912,12.327,0,
0.413777,28.646794,14.464462,5,0.61,0.039,23.346,17.099,12.292,12.889,12.439,0,
0.580226,34.122052,14.016295,5,0.598,0.018,23.385,17.387,12.461,13.089,12.677,0,
0.620952,28.326932,14.357018,5,0.574,0.033,23.47,17.266,12.632,13.18,12.763,0,
0.927737,33.470201,13.680037,7,0.48,0.064,22.272,16.902,12.464,12.917,12.619,0,
0.881101,28.320609,14.556576,5,0.49,0.036,20.666,14.888,10.94,11.396,11.036,0,
0.883653,33.600192,13.811404,6,0.47,0.026,23.052,19.024,14.95,15.389,15.098,0,
0.703266,33.36271,13.854865,6,0.547,0.079,23.336,18.541,13.868,14.496,14.116,0,
0.407941,33.247609,13.928765,7,0.533,0.049,22.567,15.92,10.358,10.924,10.48,0,
0.580583,28.87183,14.563366,6,0.415,0.031,21.818,17.26,13.499,13.796,13.553,1,DSCT|GDOR|SXPHE               
0.989331,28.903343,14.608022,8,0.508,0.038,22.364,16.457,12.22,12.725,12.355,0,
0.774455,33.295485,14.018049,5,1.192,0.049,21.121,20.231,14.324,15.724,14.861,0,
0.470012,29.058771,14.835946,5,0.549,0.022,23.463,17.494,13.34,13.754,13.4,0,
0.329692,34.032023,14.192224,5,0.594,0.022,22.855,17.331,12.236,12.856,12.436,0,
2.092508,33.984788,14.271364,5,0.839,0.02,23.676,18.663,11.428,12.41,11.74,1,ROT                           
1.25805,33.547624,14.165345,5,0.566,0.019,22.495,16.094,10.914,11.412,11.047,0,
1.098472,33.478051,14.201169,5,0.607,0.018,23.23,16.433,11.073,11.681,11.257,0,
1.180987,33.607012,14.205242,5,0.576,0.011,23.445,15.921,11.122,11.718,11.322,0,
1.131656,33.61393,14.261715,5,0.797,0.026,21.812,17.534,11.514,12.451,11.808,1,EA                            
0.360944,28.829362,14.94804,5,0.838,0.042,22.515,20.021,12.891,13.781,13.11,0,
0.27867,28.80528,15.063898,6,0.768,0.043,23.706,18.182,11.296,12.116,11.532,0,
0.119757,29.557531,14.63451,6,0.399,0.063,22.436,17.536,14.103,14.472,14.189,0,
0.430888,29.539886,14.656301,9,0.551,0.022,23.667,17.256,12.771,13.222,12.862,0,
0.238776,29.559933,14.74735,10,0.506,0.033,21.093,15.0,10.803,11.212,10.881,0,
0.471413,29.53856,14.791536,10,0.507,0.032,22.792,16.677,12.521,12.915,12.614,0,
0.425108,29.362055,14.771428,10,0.623,0.04,23.297,16.343,10.781,11.371,10.926,0,
0.864459,29.465871,15.018802,6,0.565,0.095,22.71,16.257,11.894,12.333,11.931,0,
0.831685,29.506748,15.040207,6,0.576,0.074,22.165,15.532,10.638,11.091,10.688,0,
0.477709,29.654637,14.986543,6,0.439,0.048,19.702,15.302,11.568,11.882,11.612,0,
0.800728,29.810196,15.047175,6,0.571,0.064,22.221,15.764,10.679,11.146,10.76,0,
0.612347,29.786833,15.072188,6,0.621,0.087,23.646,18.003,12.981,13.46,13.029,0,
0.802182,29.615508,15.096235,6,0.54,0.081,23.658,16.628,12.397,12.793,12.43,0,
0.535674,29.12189,14.850341,9,0.536,0.032,22.134,15.741,11.536,11.942,11.576,0,
1.80699,29.390266,14.971322,6,0.719,0.049,23.586,16.381,9.982,10.541,10.076,0,
0.45996,29.209256,15.082344,8,0.692,0.052,23.209,16.178,9.717,10.394,9.928,0,
0.378781,29.354298,15.14296,6,0.608,0.061,23.313,16.646,11.275,11.812,11.366,0,
0.628157,29.004307,14.945521,5,0.541,0.023,22.516,16.515,11.703,12.182,11.79,0,
0.524965,29.091048,15.058375,7,0.465,0.047,21.359,15.709,11.552,11.897,11.613,0,
0.933816,29.016592,15.109217,6,0.558,0.036,23.45,16.503,11.88,12.423,12.03,0,
1.323922,29.099642,15.173308,6,0.693,0.056,23.805,16.903,10.803,11.484,10.979,1,ROT                           
0.341634,29.118603,15.16699,6,0.613,0.052,22.923,17.109,11.931,12.488,12.066,1,ROT                           
0.702068,29.267713,15.314372,5,0.482,0.067,22.516,18.114,14.647,14.903,14.598,0,
2.153899,29.147742,15.31999,6,0.342,0.036,18.135,14.378,10.862,10.994,10.817,0,
0.868057,29.302668,15.449922,5,0.554,0.052,22.844,16.894,12.217,12.701,12.313,0,
2.10868,30.955153,14.526163,8,0.61,0.034,22.216,19.3,13.892,14.546,14.035,0,
1.102452,30.880909,14.680591,7,0.523,0.043,22.653,16.387,12.0,12.493,12.132,1,ROT                           
2.226896,30.89604,14.701045,10,0.468,0.107,19.748,14.527,10.24,10.589,10.303,1,ROT                           
2.942322,30.935876,14.709306,6,0.999,0.058,20.893,18.934,13.37,14.614,13.764,0,
1.1794,30.731566,14.661929,7,0.14,0.043,18.187,16.65,14.239,14.046,14.093,0,
0.995616,33.810262,14.543773,5,0.547,0.021,22.017,15.984,11.245,11.774,11.395,0,
1.213561,33.710254,14.622451,5,0.518,0.07,22.101,15.419,10.478,10.926,10.575,0,
0.15038,134.636192,0.328094,221,0.542,0.064,23.836,17.899,13.557,13.953,13.629,1,ROT                           
0.391281,138.690746,3.988633,6,0.926,0.058,22.532,21.285,13.5,14.512,13.81,0,
0.565554,138.645066,4.0342,7,0.444,0.074,21.865,16.622,12.65,13.035,12.777,0,
0.84435,138.558562,4.034341,5,0.937,0.072,20.837,19.727,12.807,13.799,13.092,0,
1.28522,127.648991,6.618911,6,0.44,0.027,19.707,14.683,11.127,11.443,11.188,0,
0.990201,127.65722,6.63079,6,0.463,0.023,22.44,17.034,13.318,13.681,13.404,0,
0.80674,140.597644,5.726918,5,0.369,0.064,22.149,17.107,13.657,13.997,13.8,0,
1.995852,127.670223,6.685796,5,0.354,0.096,18.58,13.733,9.968,10.322,10.032,0,
0.715001,133.014787,9.420959,6,0.308,0.207,22.351,17.361,13.399,13.722,13.617,1,ROT                           
1.290471,127.506876,6.720845,6,0.653,0.055,23.295,17.997,12.731,13.345,12.887,0,
1.402795,127.469642,6.740549,6,0.539,0.049,23.115,17.743,13.648,14.141,13.778,0,
1.441628,132.883835,9.468229,7,0.893,0.065,21.252,20.095,13.302,14.297,13.561,1,ROT                           
0.441199,133.217081,9.400778,5,0.343,0.249,22.472,17.257,13.011,13.42,13.136,0,
1.222521,127.551231,6.816979,6,0.234,0.044,18.737,16.007,13.482,13.399,13.387,0,
0.182391,137.400545,3.347046,5,0.456,0.049,22.386,15.942,11.8,12.141,11.884,0,
1.596482,137.373439,3.412887,5,0.886,0.111,21.47,20.359,14.087,15.075,14.369,0,
0.756117,134.571911,0.401795,183,0.452,0.059,22.322,17.43,13.666,13.956,13.712,0,
0.603296,137.381473,3.499125,5,0.45,0.082,19.847,14.467,10.063,10.539,10.172,0,
1.429732,134.539337,0.408009,143,0.671,0.047,24.077,16.703,11.045,11.628,11.179,0,
1.487603,134.539353,0.407985,249,0.504,0.0,24.077,16.703,10.975,11.666,11.089,0,
0.955521,127.961895,6.790498,5,0.456,0.05,22.094,16.709,12.971,13.338,13.062,0,
0.421947,127.907607,6.796988,5,0.43,0.047,21.6,15.826,11.876,12.165,11.92,0,
0.54912,133.297234,9.54743,6,0.542,0.026,23.607,16.716,11.831,12.289,11.958,0,
0.336607,134.613915,0.44235,162,0.405,0.0,23.324,19.031,15.045,14.967,14.623,0,
0.307509,134.613917,0.442358,250,0.557,0.086,23.324,19.031,14.541,14.993,14.642,0,
0.202183,137.305477,3.50582,5,0.483,0.054,22.368,15.861,11.201,11.601,11.276,0,
0.312667,134.613929,0.442357,123,0.443,0.0,23.324,19.031,14.534,15.132,14.578,0,
