RAJ2000,DEJ2000
29.267713,15.314372
29.141302,15.261027
29.147742,15.31999
29.302668,15.449922
30.955153,14.526163
30.880909,14.680591
30.89604,14.701045
30.935876,14.709306
30.731566,14.661929
33.810262,14.543773
33.710254,14.622451
138.948249,3.361578
139.012343,3.41562
138.900324,3.420482
138.8735,3.498893
138.911649,3.500043
138.859174,3.534421
139.115989,3.640507
138.981326,3.602203
138.981291,3.688752
138.808769,3.703442
138.844979,3.852809
134.636192,0.328094
138.956338,10.373931
138.752931,10.325519
138.841222,10.427065
139.235094,10.237067
139.091584,10.32968
139.078135,10.378054
139.274579,10.436871
139.390794,10.368148
138.690746,3.988633
139.435543,10.453913
139.334839,10.404858
139.37424,10.439395
139.309329,10.516329
139.069488,10.385745
139.001149,10.437397
138.645066,4.0342
138.558562,4.034341
127.758517,6.698652
137.048674,3.211429
137.260401,3.254979
136.438653,8.496232
137.397171,3.301034
127.648991,6.618911
136.935557,3.280992
136.936614,3.264948
127.65722,6.63079
137.067785,3.279772
136.977825,3.310536
140.597644,5.726918
127.735587,6.681385
132.846952,9.383201
127.670223,6.685796
136.902778,3.392948
140.694215,5.835576
133.014787,9.420959
127.506876,6.720845
127.469642,6.740549
127.515951,6.750256
132.883835,9.468229
137.094932,3.469349
137.139129,3.50119
133.237577,9.316976
137.435686,3.372947
133.217081,9.400778
127.551231,6.816979
137.445235,3.350199
137.400545,3.347046
126.343926,8.649723
137.427179,3.386934
137.501417,3.432956
137.373439,3.412887
134.571911,0.401795
126.448902,8.721518
126.314228,8.629912
137.381473,3.499125
137.468115,3.492129
134.539337,0.408009
134.539353,0.407985
127.961895,6.790498
136.877248,8.809527
141.107939,5.766111
127.907607,6.796988
136.79076,8.828617
133.297234,9.54743
128.125693,6.753852
137.568775,3.567571
136.735821,8.833144
133.338597,9.634704
128.268155,6.900011
134.613915,0.44235
126.623325,8.794421
134.613917,0.442358
141.63407,5.785791
137.279181,3.456875
126.600058,8.815554
137.305477,3.50582
134.613929,0.442357
137.257109,3.551409
128.111754,6.901979
127.975446,6.880351
141.644153,5.907824
137.341264,3.537283
141.637657,5.939035
141.654486,5.921978
128.162327,7.003331
137.26191,3.601299
134.937326,4.853219
133.03987,9.614479
137.204978,3.612732
141.8121,5.940406
126.977305,8.755432
127.81175,6.884125
137.554686,3.663391
135.057527,5.000849
133.199577,9.659438
134.976571,5.007819
137.539896,3.742897
133.196032,9.680426
127.009595,8.867339
127.735303,6.905838
137.366268,3.708536
127.673722,6.910114
135.188912,5.029273
135.157404,5.05212
126.798783,8.852094
127.773164,6.912638
136.608552,9.01905
141.912782,6.071997
141.783663,6.06649
137.456452,3.85751
135.065657,5.043256
136.824603,3.453559
126.872518,8.89505
127.954677,7.013161
141.484073,5.98184
128.020814,7.033546
136.678021,9.108603
132.541236,9.371772
141.418934,6.019056
136.734171,3.490166
128.080923,7.06154
132.524548,9.413547
141.498921,6.001672
127.071315,8.875151
134.954336,5.060942
141.695253,5.998657
136.608391,9.144727
136.728969,9.172526
137.003358,3.58207
127.94182,7.063947
141.760138,6.066247
127.184019,8.952791
127.9987,7.087472
128.041707,7.107113
136.868263,3.675008
134.777841,5.180912
141.641824,6.170457
136.166006,8.806897
132.732987,9.493641
136.136454,8.821862
126.97483,8.988494
132.802222,9.539197
135.089711,5.169066
127.02383,9.03055
127.124322,9.07039
127.132869,9.071757
136.842605,3.661208
132.586181,9.60662
134.903366,5.247459
126.75608,8.870623
132.725165,9.657648
136.19601,8.918385
134.604415,0.51364
126.793307,8.921291
126.711057,8.902937
141.112778,5.893755
126.681139,8.936908
133.573014,3.61043
132.713381,9.686052
136.772963,3.768793
133.62134,3.653248
136.783588,3.784147
126.720833,8.960805
136.738631,3.80989
126.724827,8.970985
137.152071,3.622063
135.310592,5.155095
136.188115,9.026898
133.585624,3.706519
133.593141,3.722515
126.787206,8.97656
141.059083,6.040564
132.466063,9.618068
132.449574,9.653349
133.539376,3.690935
141.131111,6.045886
133.475538,3.697191
135.376483,5.23623
133.571923,3.740114
137.088238,3.757502
134.634098,0.5385
126.621618,9.011634
140.907834,5.991763
133.48175,3.755058
132.432503,9.663502
135.365732,5.261968
135.299885,5.292268
